Item_id,Item,Store ,suplier,suplier location ,quantity,Item sold,purchase price,total cost,sold price ,Discounts,total sales ,Date,Month Number,Month Name,Year,product feedback,other feedback
1122,Oranges,Grocery, Grocery Industries Australia Pty Ltd , VIC ,1618,1609, $3.00 ," $4,854.00 ", $3.95 , $-   ," $6,355.55 ",1/1/2020,1, January ,2020,agree,I like your product 
1123,Apples,Orchard, Complete Food Services , NSW  ,1321,1312, $2.00 ," $2,642.00 ", $2.95 , $-   ," $3,870.40 ",2/1/2020,1, January ,2020,disagree,I don't like this product 
1124,Bananas,Grocery, Japan Foods Trading , Queensland ,2178,2169, $1.50 ," $3,267.00 ", $2.45 , $-   ," $5,314.05 ",3/1/2020,6, June ,2020,strongly agree,prodict not receive ontime
1125,Lettuce,Market, Basfoods Direct , Tasmania ,888,879, $1.75 ," $1,554.00 ", $2.70 , $-   ," $2,373.30 ",4/1/2020,6, June ,2020,strongly diagree,receive ontime 
1126,Tomatoes,Market, Kahvecioglu Grand Foods , Western Australia  ,2470,2461, $2.00 ," $4,940.00 ", $2.95 , $-   ," $7,259.95 ",5/1/2020,6, June ,2020,agree,I like your product 
1127,Squash,Market, NSM Foods Direct to Public Outlet Store , South Australia  ,1513,1504, $5.00 ," $7,565.00 ", $5.95 , $-   ," $8,948.80 ",6/1/2020,12, December ,2020,disagree,I don't like this product 
1128,Celery,Grocery, Bera Foods Wholesalers , Northern Territory ,921,912, $4.00 ," $3,684.00 ", $4.95 , $-   ," $4,514.40 ",7/1/2020,3, March ,2020,Extremely Poor,product not receive ontime
1129,Cucumber,Market, Royal Foods Australia Pty. Ltd. , The Australian Capital Territory ,2518,2509, $3.50 ," $8,813.00 ", $4.45 , $-   ," $11,165.05 ",8/1/2020,6, June ,2020,agree,receive ontime 
1130,Mushrooms,Grocery, Real Food Distributors , NSW  ,1899,1890, $4.00 ," $7,596.00 ", $4.95 , $-   ," $9,355.50 ",9/1/2020,6, June ,2020,disagree,I like your product 
1131,Milk ,Home Delivery, Quality Foods , Queensland ,1545,1536, $2.50 ," $3,862.50 ", $3.45 , $-   ," $5,299.20 ",10/1/2020,6, June ,2020,strongly agree,I don't like this product 
1132,Cheese,Home Delivery, First Ray , Tasmania ,2470,2461, $5.00 ," $12,350.00 ", $5.95 , $-   ," $14,642.95 ",11/1/2020,6, June ,2020,strongly diagree,product was very fresh thanks
1133,Eggs,Home Delivery, Mediterranean Wholesalers , Western Australia  ,2665,2656, $11.00 ," $29,315.00 ", $11.95 , $-   ," $31,739.20 ",12/1/2020,7, July ,2020,agree,product was notvery fresh thanks
1134,Cottage cheese,Home Delivery, Bruno Fine Foods , South Australia  ,958,949, $7.00 ," $6,706.00 ", $7.95 , $-   ," $7,544.55 ",13/1/2020,8, August ,2020,disagree,product was very fresh thanks
